ies,ies_abrev,nivel,ies_cod,programa
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-Rio,7,31005012,INFORMÁTICA
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,7,32001010,COMPUTAÇÃO
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,7,33003017,COMPUTAÇÃO
UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),USP/SC,7,33002045,COMPUTAÇÃO
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,7,31001017,INFORMÁTICA
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,7,42001013,COMPUTAÇÃO
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,7,25001019,COMPUTAÇÃO
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,6,42005019,COMPUTAÇÃO
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,6,31003010,COMPUTAÇÃO
UNIVERSIDADE DE SÃO PAULO,USP,6,33002010,COMPUTAÇÃO
