ies,nome,categoria
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ALBERTO BARBOSA RAPOSO,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ALESSANDRO FABRICIO GARCIA,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ANTONIO LUZ FURTADO,COLABORADOR
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ARNDT VON STAA,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,BRUNO FEIJO,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,CARLOS JOSE PEREIRA DE LUCENA,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,CLARISSE SIECKENIUS DE SOUZA,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,DANIEL SCHWABE,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,EDUARDO SANY LABER,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,EDWARD HERMANN HAEUSLER,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,HELIO CORTES VIEIRA LOPES,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,HUGO FUKS,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,JULIO CESAR SAMPAIO DO PRADO LEITE,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARCELO GATTASS,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARCO ANTONIO CASANOVA,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARCO SERPA MOLINARO,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARCUS VINICIUS SOLEDADE POGGI DE ARAGAO,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARKUS ENDLER,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,NOEMI DE LA ROCQUE RODRIGUEZ,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ROBERTO IERUSALIMSCHY,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,RUY LUIZ MILIDIU,PERMANENTE
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,SERGIO LIFSCHITZ,PERMANENTE
