area,dict_paper_autores,doi,evento,ies,isbn,issn,num_discentes,num_docentes,num_externos,pagina_fim,pagina_ini,paper_ano,paper_autores,paper_id,paper_tipo,paper_titulo,periodico,programa,url
REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS,"[{'nome': 'BERTO DE TACIO PEREIRA GOMES', 'categoria': 'Participante Externo'}, {'nome': 'LUIZ CARLOS MELO MUNIZ', 'categoria': 'Participante Externo'}, {'nome': 'FRANCISCO JOSE DA SILVA E SILVA', 'categoria': 'Participante Externo'}, {'nome': 'LUIS EDUARDO TALAVERA RIOS', 'categoria': 'Participante Externo'}, {'nome': 'MARKUS ENDLER', 'categoria': 'Docente'}]",DOI: 10.1002/cpe.4043,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,1532-0634,0,1,4,19,1,2017,"['BERTO DE TACIO PEREIRA GOMES', 'LUIZ CARLOS MELO MUNIZ', 'FRANCISCO JOSE DA SILVA E SILVA', 'LUIS EDUARDO TALAVERA RIOS', 'MARKUS ENDLER']",5583631,ARTIGO EM PERIÓDICO,A COMPREHENSIVE AND SCALABLE MIDDLEWARE FOR AMBIENT ASSISTED LIVING BASED ON CLOUD COMPUTING AND IOT,(1532-0634) CONCURRENY AND COMPUTATION (ONLINE),INFORMÁTICA (31005012004P9),
TEORIA DA COMPUTAÇÃO,"[{'nome': 'FREDERICO GALAXE PAES', 'categoria': 'Participante Externo'}, {'nome': 'ARTUR ALVES PESSOA', 'categoria': 'Participante Externo'}, {'nome': 'THIBAUT VICTOR GASTON VIDAL', 'categoria': 'Docente'}]",10.1016/j.ejor.2016.07.022,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,0377-2217,0,1,2,756,742,2017,"['FREDERICO GALAXE PAES', 'ARTUR ALVES PESSOA', 'THIBAUT VICTOR GASTON VIDAL']",5653523,ARTIGO EM PERIÓDICO,A HYBRID GENETIC ALGORITHM WITH DECOMPOSITION PHASES FOR THE UNEQUAL AREA FACILITY LAYOUT PROBLEM,(0377-2217) EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,INFORMÁTICA (31005012004P9),
COMPUTAÇÃO GRÁFICA,"[{'nome': 'LUIS PAULO SANTOS VALENTE', 'categoria': 'Participante Externo'}, {'nome': 'BRUNO FEIJO', 'categoria': 'Docente'}, {'nome': 'JULIO CESAR SAMPAIO DO PRADO LEITE', 'categoria': 'Docente'}, {'nome': 'ESTEBAN WALTER GONZALEZ CLUA', 'categoria': 'Participante Externo'}]",10.1007/s00779-017-1107-0,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,1617-4909,0,2,2,24,1,2017,"['LUIS PAULO SANTOS VALENTE', 'BRUNO FEIJO', 'JULIO CESAR SAMPAIO DO PRADO LEITE', 'ESTEBAN WALTER GONZALEZ CLUA']",5310309,ARTIGO EM PERIÓDICO,A METHOD TO ASSESS PERVASIVE QUALITIES IN MOBILE GAMES,(1617-4909) PERSONAL AND UBIQUITOUS COMPUTING (PRINT),INFORMÁTICA (31005012004P9),
REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS,"[{'nome': 'BERTO DE TACIO PEREIRA GOMES', 'categoria': 'Participante Externo'}, {'nome': 'LUIZ CARLOS MELO MUNIZ', 'categoria': 'Participante Externo'}, {'nome': 'FRANCISCO JOSE DA SILVA E SILVA', 'categoria': 'Participante Externo'}, {'nome': 'DAVI VIANA DOS SANTOS', 'categoria': 'Participante Externo'}, {'nome': 'RAFAEL FERNANDES LOPES', 'categoria': 'Participante Externo'}, {'nome': 'LUCIANO REIS COUTINHO', 'categoria': 'Participante Externo'}, {'nome': 'FELIPE OLIVEIRA CARVALHO', 'categoria': 'Discente'}, {'nome': 'MARKUS ENDLER', 'categoria': 'Docente'}]",10.3390/s17122853,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,1424-8220,1,1,6,2898,2853,2017,"['BERTO DE TACIO PEREIRA GOMES', 'LUIZ CARLOS MELO MUNIZ', 'FRANCISCO JOSE DA SILVA E SILVA', 'DAVI VIANA DOS SANTOS', 'RAFAEL FERNANDES LOPES', 'LUCIANO REIS COUTINHO', 'FELIPE OLIVEIRA CARVALHO', 'MARKUS ENDLER']",5584547,ARTIGO EM PERIÓDICO,A MIDDLEWARE WITH COMPREHENSIVE QUALITY OF CONTEXT SUPPORT FOR THE INTERNET OF THINGS APPLICATIONS,(1424-8220) SENSORS (BASEL),INFORMÁTICA (31005012004P9),
COMPUTAÇÃO GRÁFICA,"[{'nome': 'AXELLE DANY JULIETTE POCHET', 'categoria': 'Discente'}, {'nome': 'WALDEMAR CELES FILHO', 'categoria': 'Docente'}, {'nome': 'HELIO CORTES VIEIRA LOPES', 'categoria': 'Docente'}, {'nome': 'MARCELO GATTASS', 'categoria': 'Docente'}]",10.1007/s00366-016-0471-0,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,0177-0667,1,3,0,292,275,2017,"['AXELLE DANY JULIETTE POCHET', 'WALDEMAR CELES FILHO', 'HELIO CORTES VIEIRA LOPES', 'MARCELO GATTASS']",5405376,ARTIGO EM PERIÓDICO,A NEW QUADTREE-BASED APPROACH FOR AUTOMATIC QUADRILATERAL MESH GENERATION,(0177-0667) ENGINEERING WITH COMPUTERS,INFORMÁTICA (31005012004P9),
ENGENHARIA DE SOFTWARE,"[{'nome': 'CHRYSTINNE OLIVEIRA FERNANDES', 'categoria': 'Discente'}, {'nome': 'CARLOS JOSE PEREIRA DE LUCENA', 'categoria': 'Docente'}]",10.2196/medinform.6693,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,2291-9694,1,1,0,"e9, p11","e9, p1",2017,"['CHRYSTINNE OLIVEIRA FERNANDES', 'CARLOS JOSE PEREIRA DE LUCENA']",5357376,ARTIGO EM PERIÓDICO,A SOFTWARE FRAMEWORK FOR REMOTE PATIENT MONITORING BY USING MULTI-AGENT SYSTEMS SUPPORT,(2291-9694) JMIR MEDICAL INFORMATICS,INFORMÁTICA (31005012004P9),
REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS,"[{'nome': 'ANDRE LUIS CAVALCANTI BUENO', 'categoria': 'Discente'}, {'nome': 'NOEMI DE LA ROCQUE RODRIGUEZ', 'categoria': 'Docente'}, {'nome': 'ELISA DOMINGUEZ SOTELINO', 'categoria': 'Participante Externo'}]",10.1108/EC-12-2015-0392,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,0264-4401,1,1,1,1292,1277,2017,"['ANDRE LUIS CAVALCANTI BUENO', 'NOEMI DE LA ROCQUE RODRIGUEZ', 'ELISA DOMINGUEZ SOTELINO']",5514016,ARTIGO EM PERIÓDICO,AN ADAPTIVE METHODOLOGY FOR MULTI-GPU PROGRAMMING IN OPENCL,(0264-4401) ENGINEERING COMPUTATIONS,INFORMÁTICA (31005012004P9),
REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS,"[{'nome': 'MARCOS PAULINO RORIZ JUNIOR', 'categoria': 'Discente'}, {'nome': 'MARKUS ENDLER', 'categoria': 'Docente'}, {'nome': 'FRANCISCO JOSE DA SILVA E SILVA', 'categoria': 'Participante Externo'}]",10.1016/j.is.2015.12.003,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,0306-4379,1,1,1,320,303,2017,"['MARCOS PAULINO RORIZ JUNIOR', 'MARKUS ENDLER', 'FRANCISCO JOSE DA SILVA E SILVA']",3939050,ARTIGO EM PERIÓDICO,AN ON-LINE ALGORITHM FOR CLUSTER DETECTION OF MOBILE NODES THROUGH COMPLEX EVENT PROCESSING,(0306-4379) INFORMATION SYSTEMS (OXFORD),INFORMÁTICA (31005012004P9),
INTERAÇÃO HUMANO-COMPUTADOR,"[{'nome': 'RAQUEL OLIVEIRA PRATES', 'categoria': 'Participante Externo'}, {'nome': 'MARY BETH ROSSON', 'categoria': 'Participante Externo'}, {'nome': 'CLARISSE SIECKENIUS DE SOUZA', 'categoria': 'Docente'}]",-,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,2236-3297,0,1,2,76,62,2017,"['RAQUEL OLIVEIRA PRATES', 'MARY BETH ROSSON', 'CLARISSE SIECKENIUS DE SOUZA']",5366439,ARTIGO EM PERIÓDICO,ANALYZING THE COMMUNICABILITY OF CONFIGURATION DECISION SPACE OVER TIME IN COLLABORATIVE SYSTEMS THROUGH A CASE STUDY,(2236-3297) SBC JOURNAL ON 3D INTERACTIVE SYSTEMS,INFORMÁTICA (31005012004P9),
ENGENHARIA DE SOFTWARE,"[{'nome': 'MARIO HOZANO LUCAS DE SOUZA', 'categoria': 'Participante Externo'}, {'nome': 'ALESSANDRO FABRICIO GARCIA', 'categoria': 'Docente'}, {'nome': 'BALDOINO FONSECA DOS SANTOS NETO', 'categoria': 'Participante Externo'}, {'nome': 'EVANDRO DE BARROS COSTA', 'categoria': 'Participante Externo'}]",10.1016/j.infsof.2017.09.002,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,0950-5849,0,1,3,146,130,2017,"['MARIO HOZANO LUCAS DE SOUZA', 'ALESSANDRO FABRICIO GARCIA', 'BALDOINO FONSECA DOS SANTOS NETO', 'EVANDRO DE BARROS COSTA']",5275354,ARTIGO EM PERIÓDICO,ARE YOU SMELLING IT? INVESTIGATING HOW SIMILAR DEVELOPERS DETECT CODE SMELLS,(0950-5849) INFORMATION AND SOFTWARE TECHNOLOGY,INFORMÁTICA (31005012004P9),
