anais_titulo,ano,area,cidade,dict_paper_autores,divulgacao,doi,edicao,editora,evento,fasciculo,idioma,ies,issn,issn_isbn,linha,natureza,num_discentes,num_docentes,num_externos,obs,pagina_final,pagina_inicial,pais,paper_autores,paper_id,periodico,programa,projeto,serie,subtipo,tipo,titulo,url,volume
,2017,REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS,New York,"[{'nome': 'BERTO DE TACIO PEREIRA GOMES', 'categoria': 'Participante Externo', 'ordem': '1'}, {'nome': 'LUIZ CARLOS MELO MUNIZ', 'categoria': 'Participante Externo', 'ordem': '2'}, {'nome': 'FRANCISCO JOSE DA SILVA E SILVA', 'categoria': 'Participante Externo', 'ordem': '3'}, {'nome': 'LUIS EDUARDO TALAVERA RIOS', 'categoria': 'Participante Externo', 'ordem': '4'}, {'nome': 'MARKUS ENDLER', 'categoria': 'Docente', 'ordem': '5'}]",MEIO DIGITAL,DOI: 10.1002/cpe.4043,,Wiley,,11,Inglês,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,1532-0634,,PROJETO E IMPLEMENTAÇÃO DE MIDDLEWARE,Completo,0,1,4,First online Dec 2016,19,1,,"['BERTO DE TACIO PEREIRA GOMES', 'LUIZ CARLOS MELO MUNIZ', 'FRANCISCO JOSE DA SILVA E SILVA', 'LUIS EDUARDO TALAVERA RIOS', 'MARKUS ENDLER']",5583631,(1532-0634) CONCURRENY AND COMPUTATION (ONLINE),INFORMÁTICA (31005012004P9),NÃO INFORMADO,-,ARTIGO EM PERIÓDICO,BIBLIOGRÁFICA,A COMPREHENSIVE AND SCALABLE MIDDLEWARE FOR AMBIENT ASSISTED LIVING BASED ON CLOUD COMPUTING AND IOT,http://onlinelibrary.wiley.com/doi/10.1002/cpe.4043/abstract,29
Proceedings of XVI Brazilian Symposium of Computer Games and Digital Entertainment,2017,COMPUTAÇÃO GRÁFICA,Curitiba,"[{'nome': 'PEDRO IGOR PORFIRIO SAMPAIO', 'categoria': 'Discente', 'ordem': '1'}, {'nome': 'AUGUSTO CESAR ESPINDOLA BAFFA', 'categoria': 'Participante Externo', 'ordem': '2'}, {'nome': 'BRUNO FEIJO', 'categoria': 'Docente', 'ordem': '3'}, {'nome': 'MAURICIO AYALA RINCON', 'categoria': 'Participante Externo', 'ordem': '4'}]",MEIO DIGITAL,,16,,"Simposio Brasileiro de Jogos e Entretenimento Digital (SBGames 2017), 16o",-,Inglês,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,-,"JOGOS, VFX E ENTRETENIMENTO DIGITAL",TRABALHO COMPLETO,1,1,2,-,8,1,Brasil,"['PEDRO IGOR PORFIRIO SAMPAIO', 'AUGUSTO CESAR ESPINDOLA BAFFA', 'BRUNO FEIJO', 'MAURICIO AYALA RINCON']",5310280,,INFORMÁTICA (31005012004P9),NÃO INFORMADO,-,TRABALHO EM ANAIS,BIBLIOGRÁFICA,A FAST APPROACH FOR AUTOMATIC GENERATION OF POPULATED MAPS WITH SEED AND DIFFICULTY CONTROL,http://https://www.sbgames.org/sbgames2017/papers/COMPUTACAO/FULL_PAPERS/175200_2_versao_preliminar.pdf,1
,2017,,,"[{'nome': 'MARCIO RICARDO ROSEMBERG', 'categoria': 'Discente', 'ordem': '1'}, {'nome': 'DANIEL SCHWABE', 'categoria': 'Docente', 'ordem': '2'}, {'nome': 'MARCUS VINICIUS SOLEDADE POGGI DE ARAGAO', 'categoria': 'Docente', 'ordem': '3'}]",,,,,,,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,,,"Série de Relatórios de Pesquisa: Monografias em Ciência da Computação, 13/2017",1,2,0,,,,,"['MARCIO RICARDO ROSEMBERG', 'DANIEL SCHWABE', 'MARCUS VINICIUS SOLEDADE POGGI DE ARAGAO']",5733069,,INFORMÁTICA (31005012004P9),,,OUTRO,BIBLIOGRÁFICA,A HYBRID BLOCK AND STREAM CIPHER ENCRYPTION ALGORITHM BASED ON COLLISION RESISTANT HASH FUNCTIONS,,
,2017,TEORIA DA COMPUTAÇÃO,Amsterdam,"[{'nome': 'FREDERICO GALAXE PAES', 'categoria': 'Participante Externo', 'ordem': '1'}, {'nome': 'ARTUR ALVES PESSOA', 'categoria': 'Participante Externo', 'ordem': '2'}, {'nome': 'THIBAUT VICTOR GASTON VIDAL', 'categoria': 'Docente', 'ordem': '3'}]",MEIO DIGITAL,10.1016/j.ejor.2016.07.022,,Elsevier,,3,Inglês,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,0377-2217,,ALGORITMOS E COMPLEXIDADE,Completo,0,1,2,-,756,742,,"['FREDERICO GALAXE PAES', 'ARTUR ALVES PESSOA', 'THIBAUT VICTOR GASTON VIDAL']",5653523,(0377-2217) EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,INFORMÁTICA (31005012004P9),NÃO INFORMADO,-,ARTIGO EM PERIÓDICO,BIBLIOGRÁFICA,A HYBRID GENETIC ALGORITHM WITH DECOMPOSITION PHASES FOR THE UNEQUAL AREA FACILITY LAYOUT PROBLEM,https://www.sciencedirect.com/science/article/pii/S0377221716305598,256
,2017,REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS,Basel,"[{'nome': 'BERTO DE TACIO PEREIRA GOMES', 'categoria': 'Participante Externo', 'ordem': '1'}, {'nome': 'LUIZ CARLOS MELO MUNIZ', 'categoria': 'Participante Externo', 'ordem': '2'}, {'nome': 'FRANCISCO JOSE DA SILVA E SILVA', 'categoria': 'Participante Externo', 'ordem': '3'}, {'nome': 'DAVI VIANA DOS SANTOS', 'categoria': 'Participante Externo', 'ordem': '4'}, {'nome': 'RAFAEL FERNANDES LOPES', 'categoria': 'Participante Externo', 'ordem': '5'}, {'nome': 'LUCIANO REIS COUTINHO', 'categoria': 'Participante Externo', 'ordem': '6'}, {'nome': 'FELIPE OLIVEIRA CARVALHO', 'categoria': 'Discente', 'ordem': '7'}, {'nome': 'MARKUS ENDLER', 'categoria': 'Docente', 'ordem': '8'}]",MEIO DIGITAL,10.3390/s17122853,,MDPI,,12,Inglês,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,1424-8220,,PROJETO E IMPLEMENTAÇÃO DE MIDDLEWARE,Completo,1,1,6,-,2898,2853,,"['BERTO DE TACIO PEREIRA GOMES', 'LUIZ CARLOS MELO MUNIZ', 'FRANCISCO JOSE DA SILVA E SILVA', 'DAVI VIANA DOS SANTOS', 'RAFAEL FERNANDES LOPES', 'LUCIANO REIS COUTINHO', 'FELIPE OLIVEIRA CARVALHO', 'MARKUS ENDLER']",5584547,(1424-8220) SENSORS (BASEL),INFORMÁTICA (31005012004P9),NÃO INFORMADO,12,ARTIGO EM PERIÓDICO,BIBLIOGRÁFICA,A MIDDLEWARE WITH COMPREHENSIVE QUALITY OF CONTEXT SUPPORT FOR THE INTERNET OF THINGS APPLICATIONS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5751556/,17
,2017,,,"[{'nome': 'MARX LELES VIANA', 'categoria': 'Participante Externo', 'ordem': '1'}, {'nome': 'PAULO SERGIO CONCEICAO DE ALENCAR', 'categoria': 'Participante Externo', 'ordem': '2'}, {'nome': 'CARLOS JOSE PEREIRA DE LUCENA', 'categoria': 'Docente', 'ordem': '3'}]",,,,,,,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,,,"Multi-Agent Systems and Agreement Technologies; 14th European Conference, EUMAS 2016, and 4th International Conference, AT 2016, Valencia, Spain, December 15-16, 2016, Revised Selected Papers",0,1,2,,,,,"['MARX LELES VIANA', 'PAULO SERGIO CONCEICAO DE ALENCAR', 'CARLOS JOSE PEREIRA DE LUCENA']",5357620,,INFORMÁTICA (31005012004P9),,,LIVRO,BIBLIOGRÁFICA,A MODELING LANGUAGE FOR ADAPTIVE NORMATIVE AGENTS,,
,2017,,,"[{'nome': 'JEFRY SASTRE PEREZ', 'categoria': 'Discente', 'ordem': '1'}, {'nome': 'MARX LELES VIANA', 'categoria': 'Participante Externo', 'ordem': '2'}, {'nome': 'CARLOS JOSE PEREIRA DE LUCENA', 'categoria': 'Docente', 'ordem': '3'}]",,,,,,,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,,,"Série de Relatórios de Pesquisa: Monografias em Ciência da Computação, 09/2017",1,1,1,,,,,"['JEFRY SASTRE PEREZ', 'MARX LELES VIANA', 'CARLOS JOSE PEREIRA DE LUCENA']",5731804,,INFORMÁTICA (31005012004P9),,,OUTRO,BIBLIOGRÁFICA,A MULTIAGENT SYSTEM TO TRAIN MACHINE LEARNING MODELS,,
,2017,COMPUTAÇÃO GRÁFICA,Berlin,"[{'nome': 'AXELLE DANY JULIETTE POCHET', 'categoria': 'Discente', 'ordem': '1'}, {'nome': 'WALDEMAR CELES FILHO', 'categoria': 'Docente', 'ordem': '2'}, {'nome': 'HELIO CORTES VIEIRA LOPES', 'categoria': 'Docente', 'ordem': '3'}, {'nome': 'MARCELO GATTASS', 'categoria': 'Docente', 'ordem': '4'}]",MEIO DIGITAL,10.1007/s00366-016-0471-0,,Springer,,-,Inglês,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,0177-0667,,"PROCESSAMENTO DE IMAGEM, VISÃO COMPUTACIONAL E REALIDADE AUMENTADA",Completo,1,3,0,Published online July 2016,292,275,,"['AXELLE DANY JULIETTE POCHET', 'WALDEMAR CELES FILHO', 'HELIO CORTES VIEIRA LOPES', 'MARCELO GATTASS']",5405376,(0177-0667) ENGINEERING WITH COMPUTERS,INFORMÁTICA (31005012004P9),NÃO INFORMADO,2,ARTIGO EM PERIÓDICO,BIBLIOGRÁFICA,A NEW QUADTREE-BASED APPROACH FOR AUTOMATIC QUADRILATERAL MESH GENERATION,https://link.springer.com/article/10.1007/s00366-016-0471-0,33
,2017,,,"[{'nome': 'RICARDO QUEIROZ DE ARAUJO FERNANDES', 'categoria': 'Participante Externo', 'ordem': '1'}, {'nome': 'EDWARD HERMANN HAEUSLER', 'categoria': 'Docente', 'ordem': '2'}, {'nome': 'LUIZ CARLOS PINHEIRO DIAS PEREIRA', 'categoria': 'Participante Externo', 'ordem': '3'}]",,,,,,,,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,,,"Transactions on Large-Scale Data- and Knowledge-Centered Systems, Book sub series vol. XXXIV, Special Issue on Consistency and Inconsistency in Data-Centric Applications",0,1,2,,,,,"['RICARDO QUEIROZ DE ARAUJO FERNANDES', 'EDWARD HERMANN HAEUSLER', 'LUIZ CARLOS PINHEIRO DIAS PEREIRA']",5413559,,INFORMÁTICA (31005012004P9),,,LIVRO,BIBLIOGRÁFICA,A PROXIMITY-BASED UNDERSTANDING OF CONDITIONALS,,
"Proceedings of the 29th International Conference on Software Engineering and Knowledge Engineering,",2017,ENGENHARIA DE SOFTWARE,Pittsburg,"[{'nome': 'NATHALIA MORAES DO NASCIMENTO', 'categoria': 'Discente', 'ordem': '1'}, {'nome': 'CARLOS JULIANO MOURA VIANA', 'categoria': 'Participante Externo', 'ordem': '2'}, {'nome': 'ARNDT VON STAA', 'categoria': 'Docente', 'ordem': '3'}, {'nome': 'CARLOS JOSE PEREIRA DE LUCENA', 'categoria': 'Docente', 'ordem': '4'}]",VÁRIOS,,29,,"International Conference on Software Engineering and Knowledge Engineering (SEKE 2017), 29th",-,Inglês,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,,1-891706-41-1,ENGENHARIA DE SOFTWARE PARA SISTEMAS MULTI-AGENTES,TRABALHO COMPLETO,1,2,1,-,526,521,Estados Unidos,"['NATHALIA MORAES DO NASCIMENTO', 'CARLOS JULIANO MOURA VIANA', 'ARNDT VON STAA', 'CARLOS JOSE PEREIRA DE LUCENA']",5290154,,INFORMÁTICA (31005012004P9),NÃO INFORMADO,-,TRABALHO EM ANAIS,BIBLIOGRÁFICA,A PUBLISH-SUBSCRIBE BASED ARCHITECTURE FOR TESTING MULTIAGENT SYSTEMS,https://www.researchgate.net/publication/316649323_A_Publish-subscribe_based_Architecture_for_Testing_Multiagent_Systems,1
